"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1f4411M7QC","281196959313","[喜极而泣]","喜极而泣","六年多了[喜极而泣]","六年多了[喜极而泣]","https://i0.hdslb.com/bfs/emote/485a7e0c01c2d70707daae53bee4a9e2e31ef1ed.png","3546746953140280","啵啵啵啵hhh","2025-11-21T04:54:37+00:00"
"BV1f4411M7QC","283057509584","[笑哭]","笑哭","27.7万赞[笑哭]","27.7万赞[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","2508901","带主播","2025-11-21T02:31:30+00:00"
"BV1f4411M7QC","283035209984","[偷笑]","偷笑","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","https://i0.hdslb.com/bfs/emote/6c49d226e76c42cd8002abc47b3112bc5a92f66a.png","3494378557410035","美香快乐幸福","2025-11-20T15:58:11+00:00"
"BV1f4411M7QC","283035209984","[大笑]","大笑","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","https://i0.hdslb.com/bfs/emote/ca94ad1c7e6dac895eb5b33b7836b634c614d1c0.png","3494378557410035","美香快乐幸福","2025-11-20T15:58:11+00:00"
"BV1f4411M7QC","283035209984","[滑稽]","滑稽","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑]","https://i0.hdslb.com/bfs/emote/d15121545a99ac46774f1f4465b895fe2d1411c3.png","3494378557410035","美香快乐幸福","2025-11-20T15:58:11+00:00"
"BV1f4411M7QC","281165250561","[捂眼]","捂眼","这里面的sd卡都成历史了[捂眼] 20年上学还跟个宝贝一样揣着","这里面的sd卡都成历史了[捂眼] 20年上学还跟个宝贝一样揣着","https://i0.hdslb.com/bfs/emote/c5c6d6982e1e53e478daae554b239f2b227b172b.png","622813667","头铁de小李同学","2025-11-20T16:05:37+00:00"
"BV1f4411M7QC","283037167984","[思考]","思考","回复 @头铁de小李同学 :sd卡是啥[思考]是插的电话卡吗？","回复 @头铁de小李同学 :sd卡是啥[思考]是插的电话卡吗？","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","3494378557410035","美香快乐幸福","2025-11-20T16:26:01+00:00"
"BV1f4411M7QC","282981115184","[笑哭]","笑哭","六年了，这个视频[笑哭]","六年了，这个视频[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","398632415","天文数字货币","2025-11-20T04:42:48+00:00"
"BV1f4411M7QC","281080082033","[doge]","doge","2025年11月19日 23:25分观看[doge]","2025年11月19日 23:25分观看[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","457070154","吃面Bu加卤蛋","2025-11-19T15:25:56+00:00"
"BV1f4411M7QC","281063591329","[笑哭]","笑哭","现在来看，变化最大的是ai和机器人吧[笑哭]","现在来看，变化最大的是ai和机器人吧[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","437538694","星轨云迹_","2025-11-19T12:21:16+00:00"
"BV1f4411M7QC","281043321841","[呲牙]","呲牙","常看常新这一块[呲牙]","常看常新这一块[呲牙]","https://i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png","492543151","_Nik0major-","2025-11-19T08:15:44+00:00"
"BV1f4411M7QC","282987025408","[哦呼]","哦呼","[哦呼]","[哦呼]","https://i0.hdslb.com/bfs/emote/362bded07ea5434886271d23fa25f5d85d8af06c.png","88456728","Nekobyte","2025-11-20T06:01:58+00:00"
"BV1f4411M7QC","282767872480","[doge]","doge","还有人我吃[doge][doge][doge]","还有人我吃[doge][doge][doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","1498084809","Cube_家","2025-11-17T14:53:20+00:00"
"BV1f4411M7QC","282586794640","[呲牙]","呲牙","[呲牙]","[呲牙]","https://i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png","414832113","uyuiusag","2025-11-15T17:53:46+00:00"
"BV1f4411M7QC","282530539040","[星星眼]","星星眼","[星星眼]","[星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","3546882875853543","姜鸭尼布号","2025-11-15T08:15:21+00:00"
"BV1f4411M7QC","280670752609","[打call]","打call","[打call]","[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","21318677","贰1318677","2025-11-15T06:12:25+00:00"
"BV1f4411M7QC","280089255905","[OK]","OK","[OK]","[OK]","https://i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png","4730188","水橋帕露西_","2025-11-08T19:46:17+00:00"
